STARS,SP_TYPE,RA,DEC,J,H,K,Ks,L,M,Lp,Mp,source
Hip064356,G0V,197.87,-13.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064384,G3V,197.938,-35.6186,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064394,G0V,197.97,27.876,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064408,G3V,198.014,-37.8031,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064459,G0V,198.185,-31.8726,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064478,G0V,198.232,-59.8163,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064494,G0V,198.295,-61.892,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064550,G2V,198.468,-45.1855,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064570,G0V,198.521,-32.2542,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064574,G1V,198.539,-14.2821,6.804,6.569,6.496,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064594,G2V,198.598,-29.2622,7.901,7.615,7.6,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064621,G0V,198.669,-79.2913,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064656,G2V,198.806,-19.2048,7.377,7.086,7.008,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064687,G1V,198.868,-39.6931,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064695,G3V,198.9,-34.5176,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064713,G3V,198.948,-29.5057,8.048,7.762,7.704,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064792,G0Vs,199.195,9.42369,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064830,G1V,199.351,-36.8173,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064878,G3V,199.485,-14.0718,7.812,7.338,7.234,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064893,G0V,199.523,-38.4821,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064941,G2V,199.685,-58.267,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064944,G2V,199.689,-17.1337,6.431,6.153,6.052,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064955,G2V,199.714,24.6115,7.284,7.024,6.939,99.0,99.0,99.0,99.0,99.0,Isaac
Hip064966,G3V,199.739,-25.2555,7.737,7.468,7.366,99.0,99.0,99.0,99.0,99.0,Isaac
Hip065034,G0V,199.961,-61.5133,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip065141,G3V,200.233,-28.1721,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip065176,G0V,200.348,-64.0496,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip065216,G0V,200.486,22.3109,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip065222,G0V,200.497,-28.9459,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip065258,G0V,200.616,-60.2927,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip065356,G3V,200.922,-15.1179,7.018,6.82,6.717,99.0,99.0,99.0,99.0,99.0,Isaac
Hip065472,G2V,201.294,-31.1985,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip065565,G2Vw...,201.645,-65.8441,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip065737,G1V,202.128,-27.3924,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip065869,G0V,202.513,-47.389,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip065878,G3V,202.561,-67.0258,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip065992,G2V,202.955,-78.944,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip066041,G0V,203.086,-57.8519,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip066047,G2V,203.106,-47.2711,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip066108,G2V,203.276,-28.2428,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip066118,G1V,203.307,-28.9714,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip066230,G0V,203.607,-59.5119,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip066238,G3V,203.635,-38.9062,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip066319,G0V,203.879,-16.9239,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip066418,G3V,204.247,-64.6376,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip066486,G3V,204.451,-35.0648,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip066510,G0V,204.501,-14.2244,8.21,7.888,7.848,99.0,99.0,99.0,99.0,99.0,Isaac
Hip066557,G3V,204.652,-59.8422,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip066676,G0V,205.032,-60.5567,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip066754,G3V,205.235,-54.8197,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip066813,G0V,205.427,-40.6095,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip066817,G3V,205.44,-80.5762,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip066851,G0V,205.508,-54.582,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip066866,G3V,205.568,-33.2785,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip066974,G2V,205.9,14.3656,5.71,5.421,5.331,99.0,99.0,99.0,99.0,99.0,Isaac
Hip067009,G0V,205.989,-41.3489,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip067069,G2V,206.186,-14.2248,5.873,5.66,5.541,99.0,99.0,99.0,99.0,99.0,Isaac
Hip067121,G3V,206.346,-42.5613,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip067146,G1V,206.408,-81.779,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip067203,G1V,206.573,-30.4744,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip067246,G0V,206.739,6.35064,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip067348,G3V,207.055,-39.3942,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip067401,G0V,207.202,-52.8299,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip067407,G0V,207.223,-14.7253,7.943,7.758,7.582,99.0,99.0,99.0,99.0,99.0,Isaac
Hip067408,G0V,207.231,-35.7037,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip067479,G0V,207.426,-29.446,7.714,7.479,7.387,99.0,99.0,99.0,99.0,99.0,Isaac
Hip067502,G3V,207.494,-28.1864,7.829,7.557,7.426,99.0,99.0,99.0,99.0,99.0,Isaac
Hip067527,G0V,207.532,-44.8507,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip067572,G3V,207.702,-62.9046,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip067613,G1V,207.813,-33.8932,7.635,7.329,7.299,99.0,99.0,99.0,99.0,99.0,Isaac
Hip067772,G0V,208.269,27.6486,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip067777,G1V,208.279,-23.5132,7.683,7.372,7.299,99.0,99.0,99.0,99.0,99.0,Isaac
Hip067794,G3V,208.324,-48.1611,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip067845,G3V,208.459,-21.2185,7.034,6.769,6.653,99.0,99.0,99.0,99.0,99.0,Isaac
Hip067907,G0V,208.627,-65.6702,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip068162,G2V,209.323,-56.0398,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip068255,G3Vw...,209.6,-56.7791,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip068268,G2V,209.626,-17.6279,7.759,7.498,7.423,99.0,99.0,99.0,99.0,99.0,Isaac
Hip068432,G0V,210.14,-40.3344,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip068468,G3V,210.265,-32.7567,8.116,7.877,7.792,99.0,99.0,99.0,99.0,99.0,Isaac
Hip068587,G3V,210.615,-24.6646,6.871,6.614,6.494,99.0,99.0,99.0,99.0,99.0,Isaac
